			cm	t		distancia
81	6.99296	81	6.99296	0.012345679	1.086419753	0.0699296
81	7.537424	81	7.537424	0.012345679	1.098765432	0.07537424
81	9.153801	81	9.153801	0.012345679	1.111111111	0.09153801
81	10.038555	81	10.038555	0.012345679	1.12345679	0.10038555
81	11.705976	81	11.705976	0.012345679	1.135802469	0.11705976
81	13.560557	81	13.560557	0.012345679	1.148148148	0.13560557
81	14.581427	81	14.581427	0.012345679	1.160493827	0.14581427
81	16.231833	81	16.231833	0.012345679	1.172839506	0.16231833
81	18.681921	81	18.681921	0.012345679	1.185185185	0.18681921
81	20.638589	81	20.638589	0.012345679	1.197530864	0.20638589
81	22.731372	81	22.731372	0.012345679	1.209876543	0.22731372
81	25.725924	81	25.725924	0.012345679	1.222222222	0.25725924
81	28.039896	81	28.039896	0.012345679	1.234567901	0.28039896
81	31.732043	81	31.732043	0.012345679	1.24691358	0.31732043
81	34.114073	81	34.114073	0.012345679	1.259259259	0.34114073
81	38.469785	81	38.469785	0.012345679	1.271604938	0.38469785
80	42.349091	80	42.349091	0.0125	1.284104938	0.42349091
80	46.27944	80	46.27944	0.0125	1.296604938	0.4627944
80	50.635152	80	50.635152	0.0125	1.309104938	0.50635152
80	76.803453	80	76.803453	0.0125	1.321604938	0.76803453
80	60.979968	80	60.979968	0.0125	1.334104938	0.60979968
80	68.075015	80	68.075015	0.0125	1.346604938	0.68075015
79	71.256726	79	71.256726	0.012658228	1.359263166	0.71256726
79	73.519655	79	73.519655	0.012658228	1.371921394	0.73519655
79	66.441623	79	66.441623	0.012658228	1.384579622	0.66441623
78	67.462493	78	67.462493	0.012820513	1.397400135	0.67462493
78	67.326377	78	67.326377	0.012820513	1.410220647	0.67326377
78	69.827508	78	69.827508	0.012820513	1.42304116	0.69827508
78	62.902607	78	62.902607	0.012820513	1.435861673	0.62902607
78	64.399883	78	64.399883	0.012820513	1.448682186	0.64399883
77	70.252871	77	70.252871	0.012987013	1.461669199	0.70252871
77	69.895566	77	69.895566	0.012987013	1.474656212	0.69895566
77	75.442293	77	75.442293	0.012987013	1.487643225	0.75442293
77	66.901014	77	66.901014	0.012987013	1.500630238	0.66901014
76	70.2869	76	70.2869	0.013157895	1.513788133	0.702869
76	74.642612	76	74.642612	0.013157895	1.526946027	0.74642612
76	65.897159	76	65.897159	0.013157895	1.540103922	0.65897159
76	65.488811	76	65.488811	0.013157895	1.553261817	0.65488811
75	71.869248	75	71.869248	0.013333333	1.56659515	0.71869248
75	73.281452	75	73.281452	0.013333333	1.579928483	0.73281452
75	68.466348	75	68.466348	0.013333333	1.593261817	0.68466348
75	66.067304	75	66.067304	0.013333333	1.60659515	0.66067304
75	65.999246	75	65.999246	0.013333333	1.619928483	0.65999246
74	65.471796	74	65.471796	0.013513514	1.633441997	0.65471796
74	65.52284	74	65.52284	0.013513514	1.646955511	0.6552284
74	64.178694	74	64.178694	0.013513514	1.660469024	0.64178694
73	64.229738	73	64.229738	0.01369863	1.674167654	0.64229738
73	65.539854	73	65.539854	0.01369863	1.687866284	0.65539854
73	65.539854	73	65.539854	0.01369863	1.701564914	0.65539854
73	67.275333	73	67.275333	0.01369863	1.715263545	0.67275333
73	66.492666	73	66.492666	0.01369863	1.728962175	0.66492666
72	65.539854	72	65.539854	0.013888889	1.742851064	0.65539854
72	63.344984	72	63.344984	0.013888889	1.756739952	0.63344984
72	64.638086	72	64.638086	0.013888889	1.770628841	0.64638086
72	65.063448	72	65.063448	0.013888889	1.78451773	0.65063448
72	65.471796	72	65.471796	0.013888889	1.798406619	0.65471796
71	72.396698	71	72.396698	0.014084507	1.812491126	0.72396698
71	72.430727	71	72.430727	0.014084507	1.826575633	0.72430727
